"Name;";"PosX;";"PosY;";"Time;"
6;0,03;-0,06;471,1104
6;0,03;-0,06;471,6116
6;0,03;-0,06;472,1147
6;0,03;-0,06;472,6157
6;0,03;-0,06;473,1172
6;0,03;-0,06;473,6181
6;0,03;-0,06;474,1194
6;0,03;-0,06;474,6214
6;0,03;-0,06;475,1263
6;0,03;-0,06;475,6362
6;0,03;-0,06;476,1375
6;0,03;-0,06;476,6392
6;0,03;-0,06;477,14
6;0,03;-0,06;477,6411
6;0,03;-0,06;478,1416
6;0,04;-0,05;478,6454
6;0,03;-0,06;479,1576
6;0,03;-0,06;479,6595
6;0,03;-0,06;480,1602
6;0,03;-0,06;480,6615
6;0,03;-0,06;481,1636
6;0,03;-0,06;481,6654
6;0,03;-0,06;482,1657
6;0,03;-0,06;482,6674
6;0,03;-0,06;483,1682
6;0,04;-0,05;483,6689
6;0,03;-0,05;484,1698
6;0,03;-0,05;484,6714
6;0,04;-0,05;485,1731
6;0,04;-0,05;485,6751
6;0,04;-0,05;486,1792
6;0,04;-0,05;486,6892
6;0,04;-0,05;487,1896
6;0,04;-0,05;487,6942
6;0,04;-0,05;488,1943
6;0,04;-0,05;488,6966
6;0,04;-0,05;489,1969
6;0,04;-0,05;489,6983
6;0,04;-0,05;490,1987
6;0,04;-0,05;490,6998
6;0,04;-0,05;491,2036
6;0,04;-0,05;491,716
6;0,04;-0,05;492,2166
6;0,04;-0,05;492,7179
6;0,04;-0,05;493,22
6;0,04;-0,05;493,7207
6;0,04;-0,05;494,2217
6;0,04;-0,05;494,7246
6;0,04;-0,05;495,2257
6;0,04;-0,04;495,7275
6;0,04;-0,04;496,2417
6;0,04;-0,04;496,7427
6;0,04;-0,04;497,2428
6;0,04;-0,05;497,7446
6;0,04;-0,05;498,2492
6;0,03;-0,05;498,7614
6;0,03;-0,04;499,2622
6;0,03;-0,03;499,7628
6;0,03;-0,03;500,2638
6;0,03;-0,03;500,7647
6;0,03;-0,03;501,2653
6;0,03;-0,03;501,7672
6;0,03;-0,03;502,269
6;0,02;-0,03;502,7701
6;0,03;-0,03;503,2725
6;0,03;-0,03;503,7742
6;0,03;-0,03;504,2749
6;0,03;-0,03;504,7874
